selection,environment,run,index,plate,row,column,group,population,background,ploidy,cross,cross_rep,selection_rep,time,assignment,isolate,gene,genotype_short,genotype_long,amino_acids,mating,auxotrophy,abs_growth_rate,abs_doubling_time,norm_growth_rate,norm_doubling_time
HU,HU,1,282,0,5,42,parents,,WA,haploid,,,,,,,RNR4,,WT,,MATa,ura3,0.0262549082191,5.25126903742,0.485849393544,1.04141892686
HU,HU,1,286,0,5,46,parents,,NA,haploid,,,,,,,RNR4,,WT,,MATa,ura3,0.167689647779,2.57613446716,1.02180118029,-0.0311145073199
HU,HU,1,378,0,7,42,parents,,WA,haploid,,,,,,,RNR4,,WT,,MATa,ura3,0.023539659688,5.40876272624,0.467002890477,1.09849661548
HU,HU,1,382,0,7,46,parents,,NA,haploid,,,,,,,RNR4,,WT,,MATa,ura3,0.173555024079,2.52653496591,1.06984869268,-0.09740677255
HU,HU,1,434,0,9,2,parents,,WA,haploid,,,,,,,RNR4,,WT,,MATα,lys2,0.0245406926907,5.34868021839,0.476610606921,1.06911703597
HU,HU,1,438,0,9,6,parents,,NA,haploid,,,,,,,RNR4,,WT,,MATα,lys2,0.183198100376,2.44852355102,1.0469983079,-0.0662591106706
HU,HU,1,442,0,9,10,parents,,WA/WA,diploid,,,,,,,RNR2,,WT,,MATa/α,,0.0496644278682,4.331643298,0.594468702001,0.750327238923
HU,HU,1,442,0,9,10,parents,,WA/WA,diploid,,,,,,,RNR4,,WT,,MATa/α,,0.0496644278682,4.331643298,0.594468702001,0.750327238923
HU,HU,1,446,0,9,14,parents,,NA/NA,diploid,,,,,,,RNR2,,WT,,MATa/α,,0.136276612394,2.87539010485,0.863189994296,0.212249953026
HU,HU,1,446,0,9,14,parents,,NA/NA,diploid,,,,,,,RNR4,,WT,,MATa/α,,0.136276612394,2.87539010485,0.863189994296,0.212249953026
HU,HU,1,450,0,9,18,parents,,WA/NA,diploid,,,,,,,RNR2,,WT,,MATa/α,,0.097262388064,3.36197417556,0.743553850041,0.42749086522
HU,HU,1,450,0,9,18,parents,,WA/NA,diploid,,,,,,,RNR4,,WT,,MATa/α,,0.097262388064,3.36197417556,0.743553850041,0.42749086522
HU,HU,1,454,0,9,22,parents,,WA/NA,diploid,,,,,,,RNR2,,WT,,MATa/α,,0.108184788538,3.20843043346,0.792403458031,0.335692918758
HU,HU,1,454,0,9,22,parents,,WA/NA,diploid,,,,,,,RNR4,,WT,,MATa/α,,0.108184788538,3.20843043346,0.792403458031,0.335692918758
HU,HU,1,458,0,9,26,constructs,,WA,haploid,,,,,,,RNR4,,WT,,MATα,,0.0416555347443,4.58534799148,0.55938035098,0.838098516872
HU,HU,1,462,0,9,30,constructs,,NA,haploid,,,,,,,RNR4,,WT,,MATα,,0.190060718032,2.39546770996,1.06056230788,-0.0848293814767
HU,HU,1,466,0,9,34,constructs,,WA,haploid,,,,,,,RNR4,,rnr4Δ,,MATa,,0.0270156613618,5.21006018922,0.478112425012,1.06457819648
HU,HU,1,470,0,9,38,constructs,,NA,haploid,,,,,,,RNR4,,rnr4Δ,,MATa,,NaN,NaN,NaN,NaN
HU,HU,1,474,0,9,42,constructs,,WA/WA,diploid,,,,,,,RNR4,,rnr4Δ/RNR4,,MATa/α,,0.0396447006539,4.65672815742,0.544027507021,0.878248496279
HU,HU,1,478,0,9,46,constructs,,NA/NA,diploid,,,,,,,RNR4,,rnr4Δ/RNR4,,MATa/α,,0.0712568753818,3.81082696718,0.699603813167,0.515389942245
HU,HU,1,530,0,11,2,parents,,WA,haploid,,,,,,,RNR4,,WT,,MATα,lys2,0.0250528905504,5.3188791216,0.48212278597,1.05252747924
HU,HU,1,534,0,11,6,parents,,NA,haploid,,,,,,,RNR4,,WT,,MATα,lys2,0.186149822809,2.42546385196,1.06057372293,-0.0848449094218
HU,HU,1,538,0,11,10,parents,,WA/WA,diploid,,,,,,,RNR2,,WT,,MATa/α,,0.0386440056802,4.69361154396,0.549986405408,0.86253213642
HU,HU,1,538,0,11,10,parents,,WA/WA,diploid,,,,,,,RNR4,,WT,,MATa/α,,0.0386440056802,4.69361154396,0.549986405408,0.86253213642
HU,HU,1,542,0,11,14,parents,,NA/NA,diploid,,,,,,,RNR2,,WT,,MATa/α,,0.141896682666,2.81708723317,0.863965062925,0.210955121115
HU,HU,1,542,0,11,14,parents,,NA/NA,diploid,,,,,,,RNR4,,WT,,MATa/α,,0.141896682666,2.81708723317,0.863965062925,0.210955121115
HU,HU,1,546,0,11,18,parents,,WA/NA,diploid,,,,,,,RNR2,,WT,,MATa/α,,0.107567294799,3.21668859324,0.77199831278,0.373330400433
HU,HU,1,546,0,11,18,parents,,WA/NA,diploid,,,,,,,RNR4,,WT,,MATa/α,,0.107567294799,3.21668859324,0.77199831278,0.373330400433
HU,HU,1,550,0,11,22,parents,,WA/NA,diploid,,,,,,,RNR2,,WT,,MATa/α,,0.108274800367,3.20723058246,0.765230881124,0.386032999633
