50kb_bin_center,YPD,HU,RM
25.,0.7508930267908037,0.7329803328290468,0.7489696515548895
75.,0.15938628158844764,0.13993948562783662,0.15211689771449982
125.,0.052793083792513774,0.0529500756429652,0.055076807793180964
175.,0.021708151244537337,0.03328290468986384,0.020606968902210566
225.,0.00848375451263538,0.012859304084720122,0.010116148370176097
275.,0.0038951168535056053,0.00832072617246596,0.004496065942300487
325.,0.001672050161504845,0.009077155824508321,0.0011240164855751218
375.,0.000665019950598518,0.0015128593040847202,0.0026227051330086175
425.,0.00037051111533346003,0.0015128593040847202,0.0011240164855751218
475.,0.00008550256507695231,0.0030257186081694403,0.0014986886474334957
525.,0.00002850085502565077,0.0015128593040847202,0.0014986886474334957
575.,0.,0.0007564296520423601,0.
625.,0.000019000570017100515,0.0015128593040847202,0.0003746721618583739
675.,0.,0.,0.0003746721618583739
725.,0.,0.,0.
775.,0.,0.,0.
825.,0.,0.,0.
875.,0.,0.0007564296520423601,0.
925.,0.,0.,0.
975.,0.,0.,0.
1025.,0.,0.,0.
1075.,0.,0.,0.
1125.,0.,0.,0.
1175.,0.,0.,0.
1225.,0.,0.,0.
1275.,0.,0.,0.
1325.,0.,0.,0.
1375.,0.,0.,0.
1425.,0.,0.,0.
1475.,0.,0.,0.
