run_1,lane_1,tag_1,run_2,lane_2,tag_2,sample_accession_number,sanger_sample_id,nice_sample_id,species,background,ploidy,cross,cross_rep,selection,selection_rep,time,clone,sample,population,coverage,
8616,5,6,8939,1,6,ERS169291,R1_HU_T2,,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,HU,1,2,,WAxNA_F12_1_HU_1_T2,WAxNA_F12_1_HU_1,89.64918417,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289829/WAxNA_F12_1_HU_1_T2.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289829/WAxNA_F12_1_HU_1_T2.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290030/WAxNA_F12_1_HU_1_T2.de_novo.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290030/WAxNA_F12_1_HU_1_T2.de_novo.vcf.gz.tbi
8616,5,18,8939,1,18,ERS169307,R1_HU_T4,,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,HU,1,4,,WAxNA_F12_1_HU_1_T4,WAxNA_F12_1_HU_1,86.23916884,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289936/WAxNA_F12_1_HU_1_T4.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289936/WAxNA_F12_1_HU_1_T4.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290137/WAxNA_F12_1_HU_1_T4.de_novo.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290137/WAxNA_F12_1_HU_1_T4.de_novo.vcf.gz.tbi
8616,5,29,8939,1,29,ERS169319,R1_HU_T8,,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,HU,1,8,,WAxNA_F12_1_HU_1_T8,WAxNA_F12_1_HU_1,85.44247477,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289689/WAxNA_F12_1_HU_1_T8.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289689/WAxNA_F12_1_HU_1_T8.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290336/WAxNA_F12_1_HU_1_T8.de_novo.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290336/WAxNA_F12_1_HU_1_T8.de_novo.vcf.gz.tbi
8616,5,40,8939,1,40,ERS169330,R1_HU_T16,,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,HU,1,16,,WAxNA_F12_1_HU_1_T16,WAxNA_F12_1_HU_1,99.60734619,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289718/WAxNA_F12_1_HU_1_T16.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289718/WAxNA_F12_1_HU_1_T16.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290369/WAxNA_F12_1_HU_1_T16.de_novo.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290369/WAxNA_F12_1_HU_1_T16.de_novo.vcf.gz.tbi
11823,1,47,,,,ERS364086,2787STDY5607149,YGL1327,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,HU,1,32,1,WAxNA_F12_1_HU_1_T32_C1,WAxNA_F12_1_HU_1,28.79503212,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289766/WAxNA_F12_1_HU_1_T32_C1.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289766/WAxNA_F12_1_HU_1_T32_C1.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290185/WAxNA_F12_1_HU_1_T32_C1.de_novo.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290185/WAxNA_F12_1_HU_1_T32_C1.de_novo.vcf.gz.tbi
11823,1,48,,,,ERS364087,2787STDY5607150,YGL1330,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,HU,1,32,2,WAxNA_F12_1_HU_1_T32_C2,WAxNA_F12_1_HU_1,27.11630729,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289805/WAxNA_F12_1_HU_1_T32_C2.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289805/WAxNA_F12_1_HU_1_T32_C2.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290099/WAxNA_F12_1_HU_1_T32_C2.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290099/WAxNA_F12_1_HU_1_T32_C2.de_novo.vcf.gz
8616,5,52,8939,1,52,ERS169342,R1_HU_T32,,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,HU,1,32,,WAxNA_F12_1_HU_1_T32,WAxNA_F12_1_HU_1,87.27429498,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289712/WAxNA_F12_1_HU_1_T32.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289712/WAxNA_F12_1_HU_1_T32.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290367/WAxNA_F12_1_HU_1_T32.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290367/WAxNA_F12_1_HU_1_T32.de_novo.vcf.gz
11823,1,27,14893,4,18,ERS364053,2787STDY5607116,,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,HU,2,2,,WAxNA_F12_1_HU_2_T2,WAxNA_F12_1_HU_2,103.4798291,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289762/WAxNA_F12_1_HU_2_T2.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289762/WAxNA_F12_1_HU_2_T2.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290178/WAxNA_F12_1_HU_2_T2.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290178/WAxNA_F12_1_HU_2_T2.de_novo.vcf.gz
11823,1,31,14893,4,22,ERS364057,2787STDY5607120,,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,HU,2,4,,WAxNA_F12_1_HU_2_T4,WAxNA_F12_1_HU_2,104.1125708,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289947/WAxNA_F12_1_HU_2_T4.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289947/WAxNA_F12_1_HU_2_T4.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290181/WAxNA_F12_1_HU_2_T4.de_novo.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290181/WAxNA_F12_1_HU_2_T4.de_novo.vcf.gz.tbi
11823,1,35,14893,4,26,ERS364061,2787STDY5607124,,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,HU,2,8,,WAxNA_F12_1_HU_2_T8,WAxNA_F12_1_HU_2,105.5665798,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289633/WAxNA_F12_1_HU_2_T8.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289633/WAxNA_F12_1_HU_2_T8.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290095/WAxNA_F12_1_HU_2_T8.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290095/WAxNA_F12_1_HU_2_T8.de_novo.vcf.gz
11822,2,76,,,,ERS364065,2787STDY5607128,,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,HU,2,16,,WAxNA_F12_1_HU_2_T16,WAxNA_F12_1_HU_2,90.90065487,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289813/WAxNA_F12_1_HU_2_T16.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289813/WAxNA_F12_1_HU_2_T16.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290141/WAxNA_F12_1_HU_2_T16.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290141/WAxNA_F12_1_HU_2_T16.de_novo.vcf.gz
11823,1,69,,,,ERS364255,2787STDY5623205,YGL1433,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,HU,2,32,1,WAxNA_F12_1_HU_2_T32_C1,WAxNA_F12_1_HU_2,28.99357581,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289983/WAxNA_F12_1_HU_2_T32_C1.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289983/WAxNA_F12_1_HU_2_T32_C1.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290100/WAxNA_F12_1_HU_2_T32_C1.de_novo.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290100/WAxNA_F12_1_HU_2_T32_C1.de_novo.vcf.gz.tbi
11823,1,70,,,,ERS364256,2787STDY5623206,YGL1434,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,HU,2,32,2,WAxNA_F12_1_HU_2_T32_C2,WAxNA_F12_1_HU_2,28.71977172,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289951/WAxNA_F12_1_HU_2_T32_C2.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289951/WAxNA_F12_1_HU_2_T32_C2.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290201/WAxNA_F12_1_HU_2_T32_C2.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290201/WAxNA_F12_1_HU_2_T32_C2.de_novo.vcf.gz
11823,1,92,14893,4,36,ERS369977,2787STDY5644704,,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,HU,2,32,,WAxNA_F12_1_HU_2_T32,WAxNA_F12_1_HU_2,101.5250872,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289628/WAxNA_F12_1_HU_2_T32.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289628/WAxNA_F12_1_HU_2_T32.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290146/WAxNA_F12_1_HU_2_T32.de_novo.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290146/WAxNA_F12_1_HU_2_T32.de_novo.vcf.gz.tbi
11823,1,6,14893,4,5,ERS364013,2787STDY5607076,,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,HU,3,2,,WAxNA_F12_1_HU_3_T2,WAxNA_F12_1_HU_3,138.1370323,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289858/WAxNA_F12_1_HU_3_T2.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289858/WAxNA_F12_1_HU_3_T2.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290074/WAxNA_F12_1_HU_3_T2.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290074/WAxNA_F12_1_HU_3_T2.de_novo.vcf.gz
11823,1,13,14893,4,10,ERS364021,2787STDY5607084,,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,HU,3,4,,WAxNA_F12_1_HU_3_T4,WAxNA_F12_1_HU_3,94.13166379,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289772/WAxNA_F12_1_HU_3_T4.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289772/WAxNA_F12_1_HU_3_T4.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290023/WAxNA_F12_1_HU_3_T4.de_novo.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290023/WAxNA_F12_1_HU_3_T4.de_novo.vcf.gz.tbi
11823,1,20,14893,4,15,ERS364029,2787STDY5607092,,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,HU,3,8,,WAxNA_F12_1_HU_3_T8,WAxNA_F12_1_HU_3,112.1557401,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289880/WAxNA_F12_1_HU_3_T8.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289880/WAxNA_F12_1_HU_3_T8.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290043/WAxNA_F12_1_HU_3_T8.de_novo.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290043/WAxNA_F12_1_HU_3_T8.de_novo.vcf.gz.tbi
11823,1,90,14893,4,34,ERS369975,2787STDY5644702,,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,HU,3,16,,WAxNA_F12_1_HU_3_T16,WAxNA_F12_1_HU_3,102.2287596,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289975/WAxNA_F12_1_HU_3_T16.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289975/WAxNA_F12_1_HU_3_T16.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290304/WAxNA_F12_1_HU_3_T16.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290304/WAxNA_F12_1_HU_3_T16.de_novo.vcf.gz
11823,1,79,,,,ERS364265,2787STDY5623215,YGL1443,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,HU,3,32,1,WAxNA_F12_1_HU_3_T32_C1,WAxNA_F12_1_HU_3,31.6474298,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289735/WAxNA_F12_1_HU_3_T32_C1.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289735/WAxNA_F12_1_HU_3_T32_C1.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290311/WAxNA_F12_1_HU_3_T32_C1.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290311/WAxNA_F12_1_HU_3_T32_C1.de_novo.vcf.gz
11823,1,80,,,,ERS364266,2787STDY5623216,YGL1444,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,HU,3,32,2,WAxNA_F12_1_HU_3_T32_C2,WAxNA_F12_1_HU_3,28.48340333,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289667/WAxNA_F12_1_HU_3_T32_C2.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289667/WAxNA_F12_1_HU_3_T32_C2.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290189/WAxNA_F12_1_HU_3_T32_C2.de_novo.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290189/WAxNA_F12_1_HU_3_T32_C2.de_novo.vcf.gz.tbi
11823,1,81,,,,ERS364267,2787STDY5623217,YGL1445,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,HU,3,32,3,WAxNA_F12_1_HU_3_T32_C3,WAxNA_F12_1_HU_3,35.99339477,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289910/WAxNA_F12_1_HU_3_T32_C3.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289910/WAxNA_F12_1_HU_3_T32_C3.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290142/WAxNA_F12_1_HU_3_T32_C3.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290142/WAxNA_F12_1_HU_3_T32_C3.de_novo.vcf.gz
11823,1,82,,,,ERS364268,2787STDY5623218,YGL1446,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,HU,3,32,4,WAxNA_F12_1_HU_3_T32_C4,WAxNA_F12_1_HU_3,36.00842818,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289758/WAxNA_F12_1_HU_3_T32_C4.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289758/WAxNA_F12_1_HU_3_T32_C4.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290349/WAxNA_F12_1_HU_3_T32_C4.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290349/WAxNA_F12_1_HU_3_T32_C4.de_novo.vcf.gz
11823,1,83,,,,ERS364269,2787STDY5623219,YGL1447,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,HU,3,32,5,WAxNA_F12_1_HU_3_T32_C5,WAxNA_F12_1_HU_3,30.2972968,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289851/WAxNA_F12_1_HU_3_T32_C5.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289851/WAxNA_F12_1_HU_3_T32_C5.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290319/WAxNA_F12_1_HU_3_T32_C5.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290319/WAxNA_F12_1_HU_3_T32_C5.de_novo.vcf.gz
11823,1,84,,,,ERS364270,2787STDY5623220,YGL1448,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,HU,3,32,6,WAxNA_F12_1_HU_3_T32_C6,WAxNA_F12_1_HU_3,34.53711067,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289948/WAxNA_F12_1_HU_3_T32_C6.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289948/WAxNA_F12_1_HU_3_T32_C6.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290018/WAxNA_F12_1_HU_3_T32_C6.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290018/WAxNA_F12_1_HU_3_T32_C6.de_novo.vcf.gz
11822,2,70,,,,ERS364045,2787STDY5607108,,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,HU,3,32,,WAxNA_F12_1_HU_3_T32,WAxNA_F12_1_HU_3,82.26473339,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289668/WAxNA_F12_1_HU_3_T32.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289668/WAxNA_F12_1_HU_3_T32.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290315/WAxNA_F12_1_HU_3_T32.de_novo.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290315/WAxNA_F12_1_HU_3_T32.de_novo.vcf.gz.tbi
8616,5,5,8939,1,5,ERS169290,R1_RA_T2,,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,RM,1,2,,WAxNA_F12_1_RM_1_T2,WAxNA_F12_1_RM_1,99.13813865,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289917/WAxNA_F12_1_RM_1_T2.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289917/WAxNA_F12_1_RM_1_T2.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290230/WAxNA_F12_1_RM_1_T2.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290230/WAxNA_F12_1_RM_1_T2.de_novo.vcf.gz
8616,5,17,8939,1,17,ERS169306,R1_RA_T4,,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,RM,1,4,,WAxNA_F12_1_RM_1_T4,WAxNA_F12_1_RM_1,102.202426,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289754/WAxNA_F12_1_RM_1_T4.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289754/WAxNA_F12_1_RM_1_T4.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290223/WAxNA_F12_1_RM_1_T4.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290223/WAxNA_F12_1_RM_1_T4.de_novo.vcf.gz
